timestamp,choppy_3,choppy_7,choppy_14,continuous_index,local_index,direction
2025-06-03 09:15:00,100.0,51.986003165129944,39.7801939623543,16,0,1
2025-06-03 09:15:00,46.497352071792726,51.986003165129944,45.621320568335676,17,1,1
2025-06-03 09:24:00,0.0,47.0880288238894,52.52990700743871,18,2,1
2025-06-03 09:24:00,-26.185950714291486,35.620718710802215,45.621320568335676,19,3,1
2025-06-03 09:27:00,-26.185950714291486,26.251244129333656,37.836572131485305,20,4,1
2025-06-03 09:39:00,26.185950714291486,26.251244129333656,43.67769873746668,21,5,0
2025-06-03 10:09:00,26.185950714291486,20.836784694555742,43.67769873746668,22,6,0
2025-06-03 10:33:00,0.0,24.153408597715043,43.67769873746668,23,7,0
2025-06-03 10:36:00,-26.185950714291486,24.153408597715043,43.67769873746668,24,8,0
2025-06-03 10:39:00,-26.185950714291486,14.783934016246473,41.628966386579926,25,9,0
2025-06-03 10:45:00,-26.185950714291486,6.86215613240665,35.78783978059855,26,10,0
2025-06-03 11:03:00,-26.185950714291486,0.0,30.728025765721135,27,11,0
2025-06-03 11:12:00,-26.185950714291486,-6.862156132406653,24.099088700460932,28,12,0
2025-06-03 12:21:00,-26.185950714291486,-6.862156132406653,17.809527059961834,29,13,0
2025-06-03 12:45:00,26.185950714291486,6.86215613240665,17.809527059961834,30,14,1
2025-06-03 12:45:00,26.185950714291486,14.783934016246473,17.809527059961834,31,15,1
2025-06-03 13:09:00,46.497352071792726,30.20625927602431,20.106734518705185,32,16,0
2025-06-03 15:06:00,26.185950714291486,41.673569389111485,20.106734518705185,33,17,0
2025-06-03 15:18:00,0.0,41.673569389111485,16.495210860815572,34,18,0
2025-06-04 09:33:00,-26.185950714291486,30.20625927602431,14.198003402072223,35,0,0
2025-06-04 09:33:00,-26.185950714291486,20.836784694555742,14.198003402072223,36,1,0
2025-06-04 09:42:00,-26.185950714291486,6.86215613240665,14.198003402072223,37,2,0
2025-06-04 09:48:00,-26.185950714291486,0.0,14.198003402072223,38,3,0
2025-06-04 10:54:00,26.185950714291486,6.86215613240665,20.106734518705185,39,4,1
2025-06-04 10:54:00,26.185950714291486,14.783934016246473,24.099088700460932,40,5,1
2025-06-04 10:54:00,0.0,24.153408597715043,28.56216096246271,41,6,1
2025-06-04 12:09:00,-26.185950714291486,24.153408597715043,28.56216096246271,42,7,1
2025-06-04 12:54:00,26.185950714291486,30.20625927602431,30.728025765721135,43,8,0
2025-06-04 13:12:00,26.185950714291486,30.20625927602431,28.56216096246271,44,9,0
2025-06-04 14:42:00,46.497352071792726,35.620718710802215,30.728025765721135,45,10,1
2025-06-05 11:51:00,83.40437671464697,47.0880288238894,35.78783978059855,46,0,0
2025-06-05 12:09:00,100.0,66.7699371813764,43.67769873746668,47,1,1
2025-06-05 12:21:00,46.497352071792726,66.7699371813764,50.58628517656971,48,2,1
2025-06-05 12:27:00,0.0,51.986003165129944,43.67769873746668,49,3,1
2025-06-05 12:42:00,-26.185950714291486,35.620718710802215,37.836572131485305,50,4,1
2025-06-05 12:42:00,-26.185950714291486,26.251244129333656,32.77675811660789,51,5,1
2025-06-05 13:36:00,26.185950714291486,26.251244129333656,34.720379947476886,52,6,0
2025-06-05 14:18:00,26.185950714291486,20.836784694555742,37.836572131485305,53,7,0
2025-06-05 14:27:00,0.0,24.153408597715043,43.67769873746668,54,8,0
2025-06-05 14:45:00,26.185950714291486,41.673569389111485,45.621320568335676,55,9,1
2025-06-05 14:57:00,26.185950714291486,41.673569389111485,45.621320568335676,56,10,1
2025-06-05 15:27:00,0.0,41.673569389111485,43.67769873746668,57,11,1
2025-06-06 09:15:00,26.185950714291486,47.0880288238894,45.621320568335676,58,0,0
2025-06-06 09:36:00,83.40437671464697,47.0880288238894,45.621320568335676,59,1,1
2025-06-06 10:06:00,46.497352071792726,35.620718710802215,37.836572131485305,60,2,1
2025-06-06 10:06:00,0.0,26.251244129333656,35.78783978059855,61,3,1
2025-06-06 10:06:00,-26.185950714291486,20.836784694555742,35.78783978059855,62,4,1
2025-06-06 10:12:00,26.185950714291486,35.620718710802215,37.836572131485305,63,5,0
2025-06-06 10:15:00,26.185950714291486,35.620718710802215,37.836572131485305,64,6,0
2025-06-06 10:15:00,0.0,30.20625927602431,37.836572131485305,65,7,0
2025-06-06 10:15:00,-26.185950714291486,24.153408597715043,35.78783978059855,66,8,0
2025-06-06 10:24:00,26.185950714291486,30.20625927602431,37.836572131485305,67,9,1
2025-06-06 10:24:00,26.185950714291486,30.20625927602431,37.836572131485305,68,10,1
2025-06-06 10:27:00,0.0,30.20625927602431,41.628966386579926,69,11,1
2025-06-06 10:30:00,-26.185950714291486,24.153408597715043,48.537552825682965,70,12,1
2025-06-06 10:30:00,-26.185950714291486,14.783934016246473,41.628966386579926,71,13,1
2025-06-06 10:42:00,-26.185950714291486,6.86215613240665,33.62197497734012,72,14,1
2025-06-06 10:45:00,-26.185950714291486,0.0,26.264953503719354,73,15,1
2025-06-06 11:00:00,-26.185950714291486,-6.862156132406653,21.801881241717574,74,16,1
2025-06-06 11:03:00,-26.185950714291486,-6.862156132406653,17.809527059961834,75,17,1
2025-06-06 11:03:00,-26.185950714291486,-6.862156132406653,14.198003402072223,76,18,1
2025-06-06 11:03:00,-26.185950714291486,-6.862156132406653,8.455426443757526,77,19,1
2025-06-06 11:27:00,26.185950714291486,6.86215613240665,10.900940620858787,78,20,0
2025-06-06 11:33:00,83.40437671464697,20.836784694555742,13.198148079602143,79,21,1
